,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Number_of_Seats,Price_Lakhs,Current_Age
1457,1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,0,1,0,12.65,2.993,255.0,5.0,97.07,5
1917,1974,BMW 7 Series 740Li,Coimbatore,2018,28060,1,1,0,12.05,2.979,320.0,5.0,93.67,6
2035,2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,1,1,0,19.0,2.996,362.07,2.0,83.96,5
1830,1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,0,1,0,11.0,2.987,258.0,7.0,79.0,6
2251,2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,0,1,0,18.0,2.987,258.0,5.0,78.8,5
1532,1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,0,1,0,14.75,2.967,245.0,7.0,72.94,5
403,418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,1,1,0,11.5,2.996,367.0,5.0,70.99,6
1637,1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,0,1,0,11.57,2.987,254.79,5.0,70.8,6
271,282,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,0,1,0,12.07,2.967,241.4,7.0,70.36,6
2458,2541,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Kochi,2018,21603,0,1,0,13.0,2.987,265.0,5.0,70.15,6
4228,4360,BMW 6 Series Gran Coupe,Kochi,2018,20004,0,1,0,17.54,2.993,313.0,4.0,68.94,6
5363,5516,BMW X3 xDrive 20d Luxury Line,Mumbai,2018,1400,0,1,0,18.56,1.995,190.0,5.0,61.25,6
908,941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,0,1,0,15.68,1.999,177.0,5.0,59.72,6
3166,3268,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,0,1,0,11.57,2.987,254.79,5.0,59.65,6
2678,2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,0,1,0,11.57,2.987,254.79,5.0,59.29,6
4921,5067,Land Rover Discovery Sport SD4 HSE Luxury 7S,Coimbatore,2019,17201,0,1,0,12.51,2.179,187.7,7.0,58.91,5
4752,4893,BMW Z4 2009-2013 Roadster 2.5i,Kochi,2018,9952,1,1,0,10.37,2.979,306.0,2.0,58.54,6
